Symbol,Fecha,Precio_Apertura,Precio_Cierre,Precio_Maximo,Precio_Minimo
EA,2024-01-02,135.5,135.78,136.4,135.21
EA,2024-01-03,135.78,135.71,136.17,135.0461
EA,2024-01-04,135.88,135.97,136.59,135.37
EA,2024-01-05,135.76,135.61,136.88,135.235
EA,2024-01-08,135.95,136.46,136.7301,135.435
EA,2024-01-09,136.14,137.72,138.47,136.14
EA,2024-01-10,137.72,137.63,138.33,136.9
EA,2024-01-11,137.56,137.74,138.105,136.85
EA,2024-01-12,138.26,137.92,138.78,137.43
EA,2024-01-16,137.95,137.15,138.16,136.5
EA,2024-01-17,137.0,136.62,137.08,135.69
EA,2024-01-18,136.62,138.03,138.16,136.01
EA,2024-01-19,138.75,137.72,138.86,137.3959
EA,2024-01-22,137.64,137.57,138.72,137.54
EA,2024-01-23,138.22,139.17,139.395,137.94
EA,2024-01-24,139.85,137.86,140.1109,137.73
EA,2024-01-25,138.76,138.94,139.7503,138.45
EA,2024-01-26,139.07,139.42,139.82,138.69
EA,2024-01-29,139.58,138.58,140.0,138.25
EA,2024-01-30,138.42,137.55,138.755,137.215
EA,2024-01-31,134.61,137.58,139.78,133.51
EA,2024-02-01,137.43,137.92,137.96,135.0
EA,2024-02-02,137.82,136.64,138.71,135.24
EA,2024-02-05,136.0,134.94,136.26,134.42
EA,2024-02-06,135.47,135.26,135.84,134.57
EA,2024-02-07,136.04,136.75,137.48,135.78
EA,2024-02-08,137.0,138.85,139.0,136.68
EA,2024-02-09,138.6,140.61,140.98,137.0
EA,2024-02-12,140.41,137.55,140.41,137.19
EA,2024-02-13,136.83,139.0,139.68,136.21
EA,2024-02-14,139.79,143.08,143.35,139.4301
EA,2024-02-15,143.24,144.05,144.53,142.89
EA,2024-02-16,144.12,142.28,144.44,142.15
EA,2024-02-20,141.77,141.04,142.1,139.85
EA,2024-02-21,140.66,141.17,141.27,139.98
EA,2024-02-22,142.38,143.52,144.355,141.54
EA,2024-02-23,143.5,142.59,144.2,141.87
EA,2024-02-26,142.59,142.58,143.21,141.21
EA,2024-02-27,142.58,139.5,142.58,138.53
EA,2024-02-28,138.82,140.08,140.63,138.3
EA,2024-02-29,140.58,139.48,140.64,137.96
EA,2024-03-01,139.08,140.79,141.28,138.52
EA,2024-03-04,140.45,138.81,141.43,138.72
EA,2024-03-05,137.66,136.28,137.85,135.01
EA,2024-03-06,137.14,135.52,137.47,134.57
EA,2024-03-07,135.94,135.4,136.79,134.305
EA,2024-03-08,135.63,135.15,135.875,134.37
EA,2024-03-11,134.94,136.73,137.89,134.73
EA,2024-03-12,136.44,136.02,137.4,135.6
EA,2024-03-13,135.97,136.96,138.065,135.97
EA,2024-03-14,136.96,135.03,137.04,134.18
EA,2024-03-15,134.45,134.27,135.45,133.68
EA,2024-03-18,134.15,132.48,134.92,132.24
EA,2024-03-19,131.67,132.96,133.29,131.0
EA,2024-03-20,133.36,132.32,133.88,131.27
EA,2024-03-21,132.5,132.48,134.2184,131.83
EA,2024-03-22,132.9,131.7,133.13,131.62
EA,2024-03-25,131.63,130.52,131.63,129.38
EA,2024-03-26,130.39,130.9,131.5,130.36
EA,2024-03-27,131.05,131.87,132.27,130.71
EA,2024-03-28,132.18,132.67,133.195,131.57
EA,2024-04-01,132.82,133.34,133.36,132.0
EA,2024-04-02,132.99,132.15,133.4099,131.66
EA,2024-04-03,132.18,132.52,133.02,131.3
EA,2024-04-04,133.2,129.56,133.48,129.04
EA,2024-04-05,129.22,130.29,130.78,128.905
EA,2024-04-08,130.29,130.0,130.725,129.43
EA,2024-04-09,130.49,130.69,131.64,130.02
EA,2024-04-10,129.9,129.3,130.325,128.45
EA,2024-04-11,129.08,129.18,130.26,128.59
EA,2024-04-12,128.53,127.89,128.925,127.6
EA,2024-04-15,128.21,127.05,128.4,126.55
EA,2024-04-16,127.72,126.55,128.77,126.36
EA,2024-04-17,126.87,126.31,127.53,126.29
EA,2024-04-18,127.09,125.63,127.39,125.11
EA,2024-04-19,126.05,127.27,127.4599,125.74
EA,2024-04-22,127.74,127.12,128.0,126.83
EA,2024-04-23,127.3,127.14,127.92,126.75
EA,2024-04-24,126.5,128.14,128.26,126.36
EA,2024-04-25,128.49,127.31,128.72,126.205
EA,2024-04-26,126.72,127.9,128.95,126.72
EA,2024-04-29,127.65,127.9,128.745,127.43
EA,2024-04-30,127.39,126.82,127.39,126.55
EA,2024-05-01,126.64,128.18,129.62,126.225
EA,2024-05-02,128.74,128.5,129.105,126.6
EA,2024-05-03,129.12,129.56,130.465,129.01
EA,2024-05-06,129.99,130.56,130.99,129.56
EA,2024-05-07,130.47,130.24,131.52,130.065
EA,2024-05-08,127.09,125.24,131.52,125.07
EA,2024-05-09,125.27,127.12,127.695,124.92
EA,2024-05-10,126.16,127.14,127.32,125.12
EA,2024-05-13,127.43,126.58,128.13,126.45
EA,2024-05-14,125.95,126.59,126.9,125.45
EA,2024-05-15,127.15,127.62,128.58,126.57
EA,2024-05-16,128.08,129.16,129.25,127.03
EA,2024-05-17,128.14,127.75,128.9,126.34
EA,2024-05-20,127.54,128.3,128.36,126.8
EA,2024-05-21,127.65,128.85,128.95,127.65
EA,2024-05-22,129.2,135.14,135.3299,129.19
EA,2024-05-23,135.47,134.4,135.72,133.72
EA,2024-05-24,134.27,135.06,135.64,133.825
EA,2024-05-28,133.2,132.05,134.03,130.594
EA,2024-05-29,131.28,131.97,133.03,130.9304
EA,2024-05-30,131.61,131.23,132.21,130.43
EA,2024-05-31,131.21,132.88,133.02,129.08
