Symbol,Fecha,Precio_Apertura,Precio_Cierre,Precio_Maximo,Precio_Minimo
KONMY,2024-01-04,25.02,25.02,25.02,25.02
KONMY,2024-01-05,26.824,27.06,27.06,26.824
KONMY,2024-01-08,27.375,27.375,27.375,27.375
KONMY,2024-01-11,28.72,28.72,28.72,28.72
KONMY,2024-01-17,28.73,28.73,28.73,28.73
KONMY,2024-01-22,30.499,31.03,31.03,30.499
KONMY,2024-01-23,30.44,30.54,30.54,30.24
KONMY,2024-01-24,30.33,30.62,30.94,30.295
KONMY,2024-01-25,30.36,30.36,30.36,30.36
KONMY,2024-01-26,30.31,30.31,30.31,30.31
KONMY,2024-01-29,29.73,30.36,30.36,29.73
KONMY,2024-01-30,30.01,30.56,30.56,30.01
KONMY,2024-01-31,31.76,31.76,31.76,31.76
KONMY,2024-02-01,30.805,31.14,31.14,30.71
KONMY,2024-02-05,31.3,31.9,31.9,31.3
KONMY,2024-02-06,31.38,31.38,31.38,31.38
KONMY,2024-02-07,31.32,31.32,31.32,31.32
KONMY,2024-02-09,31.188,31.44,31.44,31.188
KONMY,2024-02-12,32.6,32.6,32.6,32.6
KONMY,2024-02-14,31.47,31.47,31.47,31.47
KONMY,2024-02-20,31.8,30.841,31.8,30.841
KONMY,2024-02-21,31.31,31.31,31.31,31.31
KONMY,2024-02-28,33.3,33.31,33.31,33.3
KONMY,2024-02-29,32.5,32.5,32.5,32.5
KONMY,2024-03-04,32.5,32.5,32.5,32.5
KONMY,2024-03-05,33.875,33.875,33.875,33.875
KONMY,2024-03-22,32.97,32.97,32.97,32.97
KONMY,2024-03-27,34.162,34.162,34.162,34.162
KONMY,2024-04-03,32.74,33.55,33.55,32.74
KONMY,2024-04-22,29.4,29.4,29.4,29.4
KONMY,2024-04-23,31.0699,31.0699,31.0699,31.0699
KONMY,2024-04-29,29.61,29.62,29.62,29.61
KONMY,2024-05-01,27.63,27.63,27.63,27.63
KONMY,2024-05-03,29.3,31.29,31.29,29.3
KONMY,2024-05-06,29.77,29.77,29.77,29.77
KONMY,2024-05-08,28.89,28.89,28.89,28.89
KONMY,2024-05-09,31.19,31.35,31.35,31.19
KONMY,2024-05-10,32.06,32.06,32.06,32.06
KONMY,2024-05-16,35.86,35.88,35.91,35.86
KONMY,2024-05-21,36.155,36.155,36.155,36.155
KONMY,2024-05-23,34.77,34.77,34.77,34.77
KONMY,2024-05-28,33.88,34.23,34.39,33.88
KONMY,2024-05-29,34.25,34.25,34.25,34.25
KONMY,2024-06-10,35.855,35.855,35.855,35.855
KONMY,2024-06-18,34.78,34.78,34.78,34.78
KONMY,2024-06-24,33.4525,33.4525,33.4525,33.4525
KONMY,2024-07-08,34.84,34.84,34.84,34.84
KONMY,2024-07-10,37.5,37.5,37.5,37.5
KONMY,2024-07-18,37.9225,37.71,37.9225,37.64
KONMY,2024-08-09,38.62,38.62,38.62,38.62
KONMY,2024-08-12,39.04,39.0,39.04,39.0
KONMY,2024-08-13,39.66,39.66,39.66,39.66
KONMY,2024-08-16,39.84,39.84,39.84,39.84
KONMY,2024-08-23,43.74,43.74,43.74,43.74
KONMY,2024-09-05,44.85,44.85,44.85,44.85
KONMY,2024-09-11,48.525,48.525,48.525,48.525
KONMY,2024-09-25,49.5,49.5,49.5,49.5
KONMY,2024-10-03,47.75,47.75,47.75,47.75
KONMY,2024-10-22,46.32,46.32,46.32,46.32
KONMY,2024-10-25,43.16,43.16,43.16,43.16
KONMY,2024-11-22,47.74,47.74,47.74,47.74
KONMY,2024-11-26,47.18,47.18,47.18,47.18
KONMY,2024-11-29,48.52,48.52,48.52,48.52
KONMY,2024-12-10,49.8,49.8,49.8,49.8
KONMY,2024-12-11,48.37,48.37,48.37,48.37
KONMY,2024-12-12,49.2,49.37,49.37,49.2
KONMY,2024-12-16,47.9925,47.9925,47.9925,47.9925
KONMY,2024-12-23,47.0,47.42,47.485,47.0
