Symbol,Fecha,Precio_Apertura,Precio_Cierre,Precio_Maximo,Precio_Minimo
SQNXF,2024-01-03,36.55,36.55,36.55,36.55
SQNXF,2024-01-05,36.065,36.065,36.065,36.065
SQNXF,2024-01-12,38.4,38.4,38.4,38.4
SQNXF,2024-01-26,38.4,40.0,40.0,38.4
SQNXF,2024-01-29,39.02,38.18,39.02,38.18
SQNXF,2024-02-01,38.4,38.4,38.4,38.4
SQNXF,2024-02-02,40.68,38.09,40.68,38.09
SQNXF,2024-02-05,41.25,41.3,41.3,41.25
SQNXF,2024-02-06,41.16,41.16,41.16,41.16
SQNXF,2024-02-08,42.535,42.535,42.535,42.535
SQNXF,2024-02-13,42.2275,42.2275,42.2275,42.2275
SQNXF,2024-02-21,44.67,44.67,44.67,44.67
SQNXF,2024-02-23,43.3875,44.66,44.66,43.3875
SQNXF,2024-02-26,44.67,44.67,44.67,44.67
SQNXF,2024-02-28,41.71,43.01,43.01,41.71
SQNXF,2024-02-29,43.45,43.33,43.45,43.33
SQNXF,2024-03-05,41.805,40.17,41.805,40.17
SQNXF,2024-03-06,40.064,40.2,40.2,40.064
SQNXF,2024-03-07,40.0,40.0,40.0,40.0
SQNXF,2024-03-08,39.185,39.185,39.185,39.185
SQNXF,2024-03-14,39.53,39.53,39.53,39.53
SQNXF,2024-03-18,41.974,42.0,42.0,41.974
SQNXF,2024-03-25,38.74,39.67,39.67,38.74
SQNXF,2024-03-26,38.8,38.8,38.8,38.8
SQNXF,2024-04-02,37.0,37.0,37.0,37.0
SQNXF,2024-04-05,36.45,36.45,36.45,36.45
SQNXF,2024-04-09,36.63,36.63,36.63,36.63
SQNXF,2024-04-10,36.0,36.0,36.0,36.0
SQNXF,2024-04-16,36.0,36.0,36.0,36.0
SQNXF,2024-04-22,35.75,35.75,35.75,35.75
SQNXF,2024-04-25,35.75,35.75,35.75,35.75
SQNXF,2024-04-29,35.89,35.89,35.89,35.89
SQNXF,2024-04-30,35.54,35.54,35.54,35.54
SQNXF,2024-05-03,40.11,40.11,40.11,40.11
SQNXF,2024-05-07,39.45,39.45,39.45,39.45
SQNXF,2024-05-13,39.16,38.86,39.16,38.86
SQNXF,2024-05-14,33.73,33.73,33.73,33.73
SQNXF,2024-05-15,33.19,33.19,33.19,33.19
SQNXF,2024-05-16,32.392,32.392,32.392,32.392
SQNXF,2024-05-17,30.3,30.3,30.3,30.3
SQNXF,2024-05-20,31.514,32.11,32.11,31.514
SQNXF,2024-05-23,30.13,30.13,30.13,30.13
SQNXF,2024-05-28,30.15,30.15,30.15,30.15
SQNXF,2024-05-30,27.98,27.98,27.98,27.98
SQNXF,2024-06-05,30.3,30.3,30.3,30.3
SQNXF,2024-06-07,30.3,30.3,30.3,30.3
SQNXF,2024-06-10,29.685,29.685,29.685,29.685
SQNXF,2024-06-13,29.0,29.0,29.0,29.0
SQNXF,2024-06-17,28.675,28.675,28.675,28.675
SQNXF,2024-06-20,28.0,28.936,28.936,28.0
SQNXF,2024-06-26,30.125,30.125,30.125,30.125
SQNXF,2024-07-08,29.51,29.51,29.51,29.51
SQNXF,2024-07-11,31.0,31.0,31.0,31.0
SQNXF,2024-07-12,30.68,30.64,30.68,30.64
SQNXF,2024-07-17,34.65,34.6,34.65,34.6
SQNXF,2024-07-19,34.0245,34.0245,34.0245,34.0245
SQNXF,2024-07-26,31.1,31.1,31.1,31.1
SQNXF,2024-07-30,32.41,32.41,32.41,32.41
SQNXF,2024-08-13,33.5,33.5,33.5,33.5
SQNXF,2024-08-21,33.54,32.79,33.54,32.79
SQNXF,2024-08-26,37.0,37.0,37.0,37.0
SQNXF,2024-08-29,35.14,35.14,35.14,35.14
SQNXF,2024-08-30,35.14,35.14,35.14,35.14
SQNXF,2024-09-04,37.0,37.0,37.0,37.0
SQNXF,2024-09-05,38.0,38.0,38.0,38.0
SQNXF,2024-09-06,38.4,38.4,38.4,38.4
SQNXF,2024-09-09,36.35,38.5,38.75,36.35
SQNXF,2024-09-17,38.2,38.2,38.2,38.2
SQNXF,2024-09-18,38.4,38.4,38.4,38.4
SQNXF,2024-09-26,38.41,38.41,38.41,38.41
SQNXF,2024-09-27,39.0,38.575,39.0,38.575
SQNXF,2024-09-30,39.5,39.5,39.5,39.5
SQNXF,2024-10-09,38.875,38.875,38.875,38.875
SQNXF,2024-10-17,37.35,37.35,37.35,37.35
SQNXF,2024-10-21,37.64,38.5025,38.5025,37.64
SQNXF,2024-10-24,36.9,36.9,36.9,36.9
SQNXF,2024-10-25,36.97,36.3838,36.97,36.3838
SQNXF,2024-10-29,39.98,39.98,39.98,39.98
SQNXF,2024-10-31,39.0,39.0,39.0,39.0
SQNXF,2024-11-04,37.5,37.5,37.5,37.5
SQNXF,2024-11-08,38.4,37.59,38.4,37.59
SQNXF,2024-11-11,36.3,33.96,36.3,33.96
SQNXF,2024-11-13,37.05,37.05,37.05,37.05
SQNXF,2024-11-14,37.05,37.05,37.05,37.05
SQNXF,2024-11-15,34.6563,34.6563,34.6563,34.6563
SQNXF,2024-11-20,40.49,40.49,40.49,40.49
SQNXF,2024-11-22,40.5,40.5,40.5,40.5
SQNXF,2024-11-25,38.18,37.05,38.18,37.05
SQNXF,2024-11-26,41.43,41.43,41.43,41.43
SQNXF,2024-11-29,38.6,38.6,38.6,38.6
SQNXF,2024-12-02,38.84,38.84,38.84,38.84
SQNXF,2024-12-03,40.61,40.61,40.61,40.61
SQNXF,2024-12-13,40.4182,40.795,40.795,40.4182
