Symbol,Semana,Fecha,Precio_Apertura_Promedio,Precio_Cierre_Promedio,Precio_Maximo_Semanal,Precio_Minimo_Semanal
EA,1,2024-01-02,139.39000000000001,139.31833333333336,147.49,135.0461
EA,2,2024-01-08,137.126,137.494,138.78,135.435
EA,3,2024-01-16,137.57999999999998,137.38,138.86,135.69
EA,4,2024-01-22,138.708,138.592,140.1109,137.54
EA,5,2024-01-29,137.572,137.654,140.0,133.51
EA,6,2024-02-05,136.622,137.28199999999998,140.98,134.42
EA,7,2024-02-12,140.878,141.192,144.53,136.21
EA,8,2024-02-20,142.0775,142.07999999999998,144.355,139.85
EA,9,2024-02-26,140.73000000000002,140.48600000000002,143.21,137.96
EA,10,2024-03-04,137.36399999999998,136.23200000000003,141.43,134.305
EA,11,2024-03-11,135.752,135.802,138.065,133.68
EA,12,2024-03-18,132.916,132.38799999999998,134.92,131.0
EA,13,2024-03-25,131.3125,131.49,133.195,129.38
EA,14,2024-04-01,132.082,131.572,133.48,128.905
EA,15,2024-04-08,129.658,129.412,131.64,127.6
EA,16,2024-04-15,127.18800000000002,126.56199999999998,128.77,125.11
EA,17,2024-04-22,127.35,127.522,128.95,126.205
EA,18,2024-04-29,127.90799999999999,128.192,130.465,126.225
EA,19,2024-05-06,127.796,128.06,131.52,124.92
EA,20,2024-05-13,127.35,127.54,129.25,125.45
EA,21,2024-05-20,130.826,132.35,135.72,126.8
EA,22,2024-05-28,131.825,132.0325,134.03,129.08
EA,23,2024-06-03,135.638,136.334,139.09,132.08
EA,24,2024-06-10,135.954,136.076,138.07,134.79
EA,25,2024-06-17,137.3825,138.14249999999998,139.15,135.01
EA,26,2024-06-24,140.37,140.256,141.82,138.78
EA,27,2024-07-01,138.68,138.2825,139.71,137.111
EA,28,2024-07-08,141.82,143.06,147.41,137.19
EA,29,2024-07-15,146.182,145.078,148.2203,140.09
EA,30,2024-07-22,141.777,142.68,145.49,140.66
EA,31,2024-07-29,148.60999999999999,149.028,153.505,145.0
EA,32,2024-08-05,146.278,145.852,148.28,144.15
EA,33,2024-08-12,146.60999999999999,146.93400000000003,148.79,145.49
EA,34,2024-08-19,148.858,148.644,150.06,146.15
EA,35,2024-08-26,149.202,149.831,152.07,147.48
EA,36,2024-09-03,147.5625,145.8075,151.7,143.35
EA,37,2024-09-09,144.55599999999998,144.476,146.444,140.825
EA,38,2024-09-16,143.904,141.97,147.72,138.58
EA,39,2024-09-23,141.956,142.49,145.58,139.53
EA,40,2024-09-30,142.746,142.456,145.0,140.405
EA,41,2024-10-07,143.054,143.036,144.85,141.4225
EA,42,2024-10-14,144.78199999999998,144.83599999999998,147.36,143.21
EA,43,2024-10-21,145.356,145.304,147.52,142.63
EA,44,2024-10-28,147.37,148.20999999999998,152.46,143.18
EA,45,2024-11-04,156.222,156.852,160.309,150.4
EA,46,2024-11-11,161.004,162.092,164.42,157.5423
EA,47,2024-11-18,164.848,166.298,168.5,159.38
EA,48,2024-11-25,164.6525,163.9825,167.95,162.37
EA,49,2024-12-02,165.762,166.74200000000002,168.09,163.385
EA,50,2024-12-09,164.462,163.00799999999998,167.7104,156.68
EA,51,2024-12-16,152.802,151.35999999999999,158.02,146.7
EA,52,2024-12-23,147.9575,148.41750000000002,149.65,146.5
KONMY,1,2024-01-04,25.922,26.04,27.06,25.02
KONMY,2,2024-01-08,28.0475,28.0475,28.72,27.375
KONMY,3,2024-01-17,28.73,28.73,28.73,28.73
KONMY,4,2024-01-22,30.3878,30.572000000000003,31.03,30.24
KONMY,5,2024-01-29,30.57625,30.955,31.76,29.73
KONMY,6,2024-02-05,31.297,31.509999999999998,31.9,31.188
KONMY,7,2024-02-12,32.035,32.035,32.6,31.47
KONMY,8,2024-02-20,31.555,31.075499999999998,31.8,30.841
KONMY,9,2024-02-28,32.9,32.905,33.31,32.5
KONMY,10,2024-03-04,33.1875,33.1875,33.875,32.5
KONMY,12,2024-03-22,32.97,32.97,32.97,32.97
KONMY,13,2024-03-27,34.162,34.162,34.162,34.162
KONMY,14,2024-04-03,32.74,33.55,33.55,32.74
KONMY,17,2024-04-22,30.234949999999998,30.234949999999998,31.0699,29.4
KONMY,18,2024-04-29,28.846666666666664,29.513333333333332,31.29,27.63
KONMY,19,2024-05-06,30.4775,30.517500000000002,32.06,28.89
KONMY,20,2024-05-16,35.86,35.88,35.91,35.86
KONMY,21,2024-05-21,35.462500000000006,35.462500000000006,36.155,34.77
KONMY,22,2024-05-28,34.065,34.239999999999995,34.39,33.88
KONMY,24,2024-06-10,35.855,35.855,35.855,35.855
KONMY,25,2024-06-18,34.78,34.78,34.78,34.78
KONMY,26,2024-06-24,33.4525,33.4525,33.4525,33.4525
KONMY,28,2024-07-08,36.17,36.17,37.5,34.84
KONMY,29,2024-07-18,37.9225,37.71,37.9225,37.64
KONMY,32,2024-08-09,38.62,38.62,38.62,38.62
KONMY,33,2024-08-12,39.51333333333333,39.5,39.84,39.0
KONMY,34,2024-08-23,43.74,43.74,43.74,43.74
KONMY,36,2024-09-05,44.85,44.85,44.85,44.85
KONMY,37,2024-09-11,48.525,48.525,48.525,48.525
KONMY,39,2024-09-25,49.5,49.5,49.5,49.5
KONMY,40,2024-10-03,47.75,47.75,47.75,47.75
KONMY,43,2024-10-22,44.739999999999995,44.739999999999995,46.32,43.16
KONMY,47,2024-11-22,47.74,47.74,47.74,47.74
KONMY,48,2024-11-26,47.85,47.85,48.52,47.18
KONMY,50,2024-12-10,49.123333333333335,49.18,49.8,48.37
KONMY,51,2024-12-16,47.9925,47.9925,47.9925,47.9925
KONMY,52,2024-12-23,47.0,47.42,47.485,47.0
NTDOF,1,2024-01-02,53.561499999999995,53.50046666666666,61.07,48.6
NTDOF,2,2024-01-08,52.4068,53.501999999999995,56.88,50.1
NTDOF,3,2024-01-16,54.9025,54.59025,56.0,52.51
NTDOF,4,2024-01-22,54.6814,54.66482,56.0,52.7958
NTDOF,5,2024-01-29,56.01559999999999,56.0668,58.03,52.6
NTDOF,6,2024-02-05,58.6066,57.355,60.091,54.85
NTDOF,7,2024-02-12,59.116200000000006,58.412099999999995,61.33,56.46
NTDOF,8,2024-02-20,56.525,55.89425,58.07,53.06
NTDOF,9,2024-02-26,56.54600000000001,56.3375,58.75,53.04
NTDOF,10,2024-03-04,56.037,55.6348,57.68,54.08
