Pais,Codigo,Ingresos
Argentina,ARG,13019.0
Australia,AUS,389945.0
Austria,AUT,119977.0
Bahrain,BHR,1565.0
Belgium,BEL,132333.0
Bermuda,BMU,56612.0
Brazil,BRA,432707.0
Canada,CAN,1500152.0
Cayman Islands,CYM,1399.0
Chile,CHL,69346.0
China,CHN,8086430.0
Colombia,COL,39780.0
Denmark,DNK,167599.0
Egypt,EGY,3225.0
Finland,FIN,243851.0
France,FRA,1768861.0
Germany,DEU,2087515.0
Greece,GRC,10383.0
Hong Kong,HKG,818052.0
Hungary,HUN,25447.0
India,IND,865874.0
Indonesia,IDN,46085.0
Ireland,IRL,298561.0
Israel,ISR,84347.0
Italy,ITA,557300.0
Japan,JPN,4339549.0
Kazakhstan,KAZ,5128.0
Kuwait,KWT,7291.0
Luxembourg,LUX,133978.0
Malaysia,MYS,42094.0
Mexico,MEX,145439.0
Morocco,MAR,7667.0
Netherlands,NLD,587003.0
Nigeria,NGA,3375.0
Norway,NOR,149293.0
Peru,PER,4889.0
Philippines,PHL,15055.0
Poland,POL,97930.0
Portugal,PRT,46957.0
Qatar,QAT,17522.0
Russia,RUS,682034.0
Saudi Arabia,SAU,485733.0
Singapore,SGP,211909.0
South Africa,ZAF,121455.0
South Korea,KR,1512313.0
Spain,ESP,434656.0
Sweden,SWE,275301.0
Switzerland,CHE,947655.0
Taiwan,TWN,860841.0
Thailand,THA,189537.0
Turkey,TUR,97160.0
United Arab Emirates,ARE,79217.0
United Kingdom,GBR,1762137.0
United States,USA,14546997.0
Uruguay,URY,7069.0
Vietnam,VNM,22275.0
